N,P,K,temperature,humidity,ph,rainfall,label
100,75,47,29.197797,80.363675,6.114091,101.989029,banana
93,94,53,28.698642,76.604830,6.158860,91.750840,banana
90,92,45,26.335449,76.853281,6.120746,94.101283,banana
91,94,46,28.742919,83.020627,5.556611,98.235036,banana
105,95,50,27.333690,83.676752,5.849076,101.049479,banana
91,94,46,28.742919,83.020627,5.556611,98.235036,banana
105,95,50,27.333690,83.676752,5.849076,101.049479,banana
108,75,53,27.400536,82.964291,5.672856,92.652773,banana
99,92,53,26.754629,78.632657,6.230854,92.336121,banana
2,18,30,27.186911,53.632113,4.827786,92.809254,mango
35,38,32,33.556956,53.729798,4.757115,98.675276,mango
14,27,27,27.003155,47.675254,5.699587,95.851183,mango
11,15,35,28.538212,52.029664,5.761589,94.390472,mango
34,16,29,31.208330,50.151076,6.266277,98.535759,mango
39,24,31,33.556956,53.729798,4.757115,98.675276,mango
34,16,29,31.208330,50.151076,6.266277,98.535759,mango
39,24,31,33.556956,53.729798,4.757115,98.675276,mango
2,38,34,31.049994,50.250381,6.007161,93.108872,mango
35,26,32,31.306636,49.655041,6.057535,94.891376,mango
23,139,204,23.832571,81.636380,6.082978,68.822254,grapes
13,144,204,23.380541,81.418648,5.787214,68.539708,grapes
22,123,205,16.847861,80.923517,6.017729,67.859123,grapes
37,144,202,21.071497,80.250587,6.324028,70.104721,grapes
33,123,196,13.894692,82.040850,6.279134,67.225123,grapes
12,131,196,22.032962,83.743728,5.732454,65.344408,grapes
33,123,196,13.894692,82.040850,6.279134,67.225123,grapes
12,131,196,22.032962,83.743728,5.732454,65.344408,grapes
40,120,203,35.038909,83.900350,6.177795,74.675750,grapes
20,129,196,9.567943,82.689668,6.221970,67.933519,grapes
99,15,50,26.473302,80.922544,6.283818,53.657343,watermelon
119,25,51,25.567483,80.457444,6.723957,53.126519,watermelon
103,9,47,25.524690,80.225311,6.321152,45.350343,watermelon
114,21,47,24.802053,81.608351,6.329752,51.215841,watermelon
103,18,53,24.518248,89.167405,6.325265,42.394134,watermelon
113,29,48,26.521480,81.692981,6.131014,50.949187,watermelon
103,18,53,24.518248,89.167405,6.325265,42.394134,watermelon
113,29,48,26.521480,81.692981,6.131014,50.949187,watermelon
83,23,55,25.355833,80.315648,6.427930,53.613390,watermelon
101,13,54,25.603316,83.528423,6.495778,48.403601,watermelon
109,17,50,28.663066,94.283738,6.387431,22.613600,muskmelon
89,27,50,29.826911,90.964205,6.132090,20.959287,muskmelon
113,22,49,28.363499,90.578409,6.362548,20.894811,muskmelon
114,29,48,27.023151,93.031197,6.766238,20.553257,muskmelon
108,25,52,27.601728,94.690491,6.387431,24.082640,muskmelon
88,27,52,28.059994,92.342002,6.358731,25.195845,muskmelon
108,25,52,27.601728,94.690491,6.387431,24.082640,muskmelon
88,27,52,28.059994,92.342002,6.358731,25.195845,muskmelon
104,28,52,27.510061,90.637373,6.320730,22.781903,muskmelon
116,18,52,27.578206,94.118782,6.776533,28.082532,muskmelon
23,134,195,22.445813,92.405236,6.354007,119.694658,apple
8,124,200,22.914300,90.704756,5.603413,118.604465,apple
40,120,197,21.972060,92.171538,6.300463,117.765415,apple
25,129,196,23.996862,92.564581,6.355412,102.344281,apple
6,134,195,23.013409,90.939171,5.952833,104.235236,apple
38,131,199,23.020383,92.333389,5.952833,112.357010,apple
6,134,195,23.013409,90.939171,5.952833,104.235236,apple
38,131,199,23.020383,92.333389,5.952833,112.357010,apple
10,135,200,21.505925,91.660209,5.794175,112.783213,apple
33,123,195,23.104461,90.096136,5.703382,100.117344,apple
22,16,12,19.223834,91.316926,7.979060,113.015872,orange
37,10,12,22.234343,92.227252,7.605761,102.174991,orange
27,13,6,13.260769,94.329884,7.278017,122.636533,orange
7,16,9,26.333780,90.736554,7.864873,127.601437,orange
20,7,9,24.128325,90.319563,7.817846,109.125863,orange
20,9,15,23.012402,91.504186,7.511755,122.784544,orange
20,7,9,24.128325,90.319563,7.817846,109.125863,orange
20,9,15,23.012402,91.504186,7.511755,122.784544,orange
16,14,12,15.514448,90.342364,7.514368,106.070461,orange
36,12,15,16.783475,93.965266,7.818219,113.847650,orange
66,49,50,33.723859,92.172138,6.601227,142.913522,papaya
49,69,50,32.697486,92.363811,6.786243,148.946061,papaya
66,46,48,32.622965,92.510777,6.726529,169.820828,papaya
50,50,45,40.092810,92.242492,6.781536,177.554815,papaya
31,46,50,42.736400,90.425675,6.934093,143.035661,papaya
32,57,45,43.360515,93.351916,6.941497,114.778071,papaya
31,46,50,42.736400,90.425675,6.934093,143.035661,papaya
32,57,45,43.360515,93.351916,6.941497,114.778071,papaya
53,46,50,34.803443,92.333745,6.919646,193.896937,papaya
57,49,46,33.846852,93.861400,6.600586,230.219552,papaya
18,30,30,26.762749,92.177243,6.479094,224.590366,coconut
13,28,33,25.612244,95.843178,5.926937,212.750133,coconut
22,30,33,28.107529,93.509173,5.728222,226.667098,coconut
36,30,27,27.280071,96.652987,5.759483,141.085773,coconut
38,25,31,27.910952,96.462685,5.735706,225.729368,coconut
39,8,26,27.309018,94.771330,5.986545,139.526410,coconut
38,25,31,27.910952,96.462685,5.735706,225.729368,coconut
39,8,26,27.309018,94.771330,5.986545,139.526410,coconut
21,26,27,27.058019,93.818317,5.779881,189.349981,coconut
14,27,29,26.054330,92.518852,5.732730,110.970361,coconut
119,35,22,24.129766,82.439457,6.500343,263.964248,cotton
132,45,25,23.988061,80.544306,6.931757,230.965506,cotton
120,54,16,24.547385,81.801649,7.697820,242.864034,cotton
117,56,20,23.052579,82.277310,6.702620,262.717340,cotton
111,46,17,24.958997,80.282655,7.718967,271.324860,cotton
129,57,23,23.052579,83.963023,7.073454,251.055000,cotton
111,46,17,24.958997,80.282655,7.718967,271.324860,cotton
129,57,23,23.052579,83.963023,7.073454,251.055000,cotton
121,47,21,23.965635,80.076394,7.017973,202.935536,cotton
132,53,18,24.889212,82.028412,6.502985,226.655537,cotton
89,47,38,25.524690,72.248508,6.002525,151.886997,jute
68,46,38,24.650033,72.343216,6.733341,159.322307,jute
91,35,40,24.338563,73.106201,6.327941,160.936351,jute
67,46,42,26.119217,83.869849,5.569545,165.755043,jute
80,47,39,24.958933,82.941241,6.927932,166.255336,jute
78,35,44,25.665852,80.720504,6.943986,175.696957,jute
80,47,39,24.958933,82.941241,6.927932,166.255336,jute
78,35,44,25.665852,80.720504,6.943986,175.696957,jute
65,37,40,23.603016,79.295731,7.583831,174.535808,jute
78,38,39,26.520450,75.348701,7.868475,170.549069,jute
101,21,26,25.540477,56.537097,7.566166,185.122535,coffee
114,38,20,23.603016,52.261378,6.780864,127.175220,coffee
116,29,38,23.223974,52.087017,6.462586,148.449236,coffee
102,29,23,26.333780,57.348851,7.432998,178.590879,coffee
104,30,28,24.531796,56.771736,6.099525,142.686915,coffee
107,26,31,26.939119,55.345641,6.790308,195.769305,coffee
104,30,28,24.531796,56.771736,6.099525,142.686915,coffee
107,26,31,26.939119,55.345641,6.790308,195.769305,coffee
99,37,25,24.921622,50.428234,6.502985,182.928393,coffee
118,33,30,24.131797,56.771736,6.099525,142.686915,coffee
